sct_mae_hu,sct_rmse_hu,sct_psnr,sct_ssim,raw_cbct_mae_hu,raw_cbct_rmse_hu,raw_cbct_psnr,raw_cbct_ssim,sct_mae_air_lung_hu,raw_cbct_mae_air_lung_hu,sct_mae_soft_tissue_hu,raw_cbct_mae_soft_tissue_hu,sct_mae_bone_hu,raw_cbct_mae_bone_hu,sct_mae_body_hu,raw_cbct_mae_body_hu,sample_index,patient_id,slice_index
80.915985,167.53421,23.817398,0.3730479027389432,229.13783,261.87708,19.937517,0.5204973524326211,272.97543,141.99966,54.612244,235.53384,176.60039,392.51608,80.915985,229.13783,92,2ABA027,22
87.326515,179.48943,23.21869,0.3700025386731313,235.58876,268.15756,19.731667,0.5121112343401053,301.9285,152.08167,55.639885,239.84181,189.05118,413.81705,87.326515,235.58876,93,2ABA027,23
88.83299,180.84975,23.15311,0.363313734744597,239.43842,271.9107,19.61094,0.5115379030423702,311.7544,147.24556,55.10936,243.65134,197.79579,432.22165,88.83299,239.43842,94,2ABA027,24
84.60566,174.65019,23.456087,0.37480402653867817,241.52905,272.42496,19.59453,0.5064504583006335,307.18588,141.63788,54.65339,249.04347,173.93828,406.7421,84.60566,241.52905,95,2ABA027,25
80.07332,165.83958,23.905704,0.37980983583764566,244.94955,275.3794,19.50084,0.5056927235090735,294.47464,140.77972,52.51226,253.2788,158.54112,415.57916,80.07332,244.94955,96,2ABA027,26
79.34198,165.37291,23.93018,0.3871343409890825,251.786,283.62234,19.24466,0.5010714171664984,297.93784,154.18103,50.761337,258.59686,172.80273,453.9068,79.34198,251.786,97,2ABA027,27
76.398994,161.32304,24.145538,0.39819518515407265,258.1734,289.02045,19.080894,0.4956578494842252,295.3811,164.31636,48.436214,264.84393,149.86493,437.502,76.398994,258.1734,98,2ABA027,28
76.04305,157.47305,24.355343,0.3943277314447187,259.7832,287.90024,19.114626,0.4921109517220669,285.98053,158.80632,50.01219,268.61133,153.32434,425.93863,76.04305,259.7832,99,2ABA027,29
73.20572,149.2801,24.81943,0.39566228952609994,262.4996,289.9907,19.051786,0.49489684268151807,270.05978,159.32228,49.596184,270.20184,148.96724,438.56863,73.20572,262.4996,100,2ABA027,30
72.538864,143.18347,25.18161,0.3895275825943349,264.8833,293.6611,18.94254,0.4951803947130649,251.06802,143.59299,52.05279,273.62805,153.83006,435.2077,72.538864,264.8833,101,2ABA027,31
74.030975,144.37094,25.109873,0.381834057597125,267.90112,296.82593,18.84943,0.49142126181526624,248.75633,132.73682,54.26743,277.18484,159.82405,423.91965,74.030975,267.90112,102,2ABA027,32
74.31639,149.29897,24.818333,0.381232770733051,273.78683,302.5627,18.683159,0.4854295468897286,270.55685,150.99417,53.403694,281.55392,182.31792,467.79865,74.31639,273.78683,103,2ABA027,33
74.77127,152.18286,24.652153,0.37993815826712474,281.43356,310.05194,18.47078,0.47763517128540556,297.15878,158.28433,49.200367,286.9848,205.54886,505.26587,74.77127,281.43356,104,2ABA027,34
75.99931,159.46458,24.246185,0.3869141424683067,288.26364,314.9402,18.334906,0.4656954457341164,332.4872,183.2307,48.786736,293.53375,197.14598,473.24045,75.99931,288.26364,105,2ABA027,35
83.56205,174.26334,23.475346,0.37800581005765344,292.88193,320.18494,18.19145,0.4603860039543216,382.74194,194.93683,49.95606,297.80423,202.19136,489.2269,83.56205,292.88193,106,2ABA027,36
97.21682,205.3763,22.048462,0.3660741085587142,302.02173,331.519,17.889297,0.46051842611628263,468.08856,230.30421,51.89167,302.39432,212.31606,513.08746,97.21682,302.02173,107,2ABA027,37
103.89878,227.74908,21.150333,0.3710482835189262,305.05112,333.904,17.827036,0.45804088357692524,538.2696,252.35217,51.60765,305.24475,183.74374,494.1971,103.89878,305.05112,108,2ABA027,38
103.800385,230.92625,21.030003,0.37940928435808735,303.65448,332.3801,17.866766,0.46030194742733205,543.0587,256.27643,52.349827,306.3376,135.6517,448.822,103.800385,303.65448,109,2ABA027,39
102.363396,232.48987,20.971386,0.3907393626659315,308.51404,336.49823,17.759811,0.4556188123431799,562.6361,265.99435,49.21253,310.97617,139.26196,459.99365,102.363396,308.51404,110,2ABA027,40
96.99326,220.921,21.414726,0.37434352736252735,314.2586,340.8951,17.647053,0.4445627126490451,552.1882,265.4007,47.434982,317.1188,147.35074,466.05618,96.99326,314.2586,111,2ABA027,41
